planet,pradius,star,cluster,normalradius,sradius,luminosity,distance
GJ 667C d,1.67,GJ 667C,109,0,3,0.0137,7.23
GJ 667C e,1.4,GJ 667C,109,0,3,0.0137,7.23
GJ 667C f,1.4,GJ 667C,109,0,3,0.0137,7.23
GJ 667C g,1.62,GJ 667C,109,0,3,0.0137,7.23
SR 12 AB c,11.4,SR 12 AB,1070,0,3,0.075478,125
GJ 180 b,1.89,GJ 180,96,0,3,0.013018,11.69
GJ 180 c,1.77,GJ 180,96,0,3,0.013018,11.69
ROXs 12 b,11.21,ROXs 12,1065,0,3,0.021997,120
CHXR 73 b,11.46,CHXR 73,49,0,3,0.020563,
GU Psc b,15.12,GU Psc,125,0,3,0.021207,48
TWA 5 b,10.61,TWA 5,1081,0,3,0.021472,25
GJ 422 b,1.98,GJ 422,105,0,3,0.009624,12.67
Gl 581 b,4.31,Gl 581,118,0,3,0.01209,6.21
Gl 581 c,1.69,Gl 581,118,0,3,0.01209,6.21
Gl 581 e,1.27,Gl 581,118,0,3,0.01209,6.21
HD 41004 B b,11.87,HD 41004 B,435,0,3,0.052426,43.03
Kapteyn b,1.64,Kapteyn,551,0,3,0.011984,3.91
Kapteyn c,1.81,Kapteyn,551,0,3,0.011984,3.91
2M1207 b,11.66,2M1207,16,0,3,0.002371,52.4
GJ 317 b,11.15,GJ 317,99,0,3,0.008749,15.1
GJ 317 c,11.26,GJ 317,99,0,3,0.008749,15.1
Kepler-446 b,1.5,Kepler-446,914,0,3,0.006579,120
Kepler-446 c,1.1,Kepler-446,914,0,3,0.006579,120
Kepler-446 d,1.34,Kepler-446,914,0,3,0.006579,120
V391 Peg b,11.59,V391 Peg,1089,0,3,34.979689,1400
GJ 1214 b,2.67,GJ 1214,92,0,3,0.00351,13
Kepler-445 b,1.58,Kepler-445,913,0,3,0.00393,90
Kepler-445 c,2.51,Kepler-445,913,0,3,0.00393,90
Kepler-445 d,1.25,Kepler-445,913,0,3,0.00393,90
Kepler-70  b,0.76,Kepler-70,944,0,3,21.861576,1180
Kepler-70 c,0.87,Kepler-70,944,0,3,21.861576,1180
MOA-2009-BLG-319 b,6.29,MOA-2009-BLG-319,1009,0,3,0.024844,6100
OGLE-05-390L b,1.69,OGLE-05-390L,1029,0,3,0.007068,6500
DP Leo b,11.68,DP Leo,79,0,3,0.226671,
Kepler-42 b,0.78,Kepler-42,896,0,3,0.002297,38.7
Kepler-42 c,0.73,Kepler-42,896,0,3,0.002297,38.7
Kepler-42 d,0.57,Kepler-42,896,0,3,0.002297,38.7
MOA-2009-BLG-387L b,11.48,MOA-2009-BLG-387L,1010,0,3,0.005045,5700
2M 2206-20 b,14.56,2M 2206-20,15,0,3,0.000331,26.67
2M 2140+16 b,10.3,2M 2140+16,14,0,3,0.000251,25
WISE 0458+6434 b,11.3,WISE 0458+6434,1189,0,3,0.000002,10.5
2M 0746+20 b,10.86,2M 0746+20,13,0,3,0.000168,12.21
MOA-2010-BLG-328L b,1.94,MOA-2010-BLG-328L,1011,0,3,0.001435,810
UScoCTIO 108 b,11.34,UScoCTIO 108,1087,0,3,0.000316,145
WISE 1217+16A b,10.75,WISE 1217+16A,1190,0,3,0.000001,10
FU Tau b,11.28,FU Tau,88,0,3,0.000234,140
MOA-2007-BLG-192-L b,1.46,MOA-2007-BLG-192-L,1004,0,3,0.000356,700
Oph 11 b,10.87,Oph 11,1054,0,3,0.000018,145
2M 044144 b,11.66,2M 044144,12,0,3,0.000028,140
KIC-10001893 b,,KIC-10001893,969,0,3,0.048797,
KIC-10001893 d,,KIC-10001893,969,0,3,0.048797,
NY Vir b,11.52,NY Vir,1025,0,3,0.1296,
NY Vir c,11.68,NY Vir,1025,0,3,0.1296,
MOA-2013-BLG-220L b,6.68,MOA-2013-BLG-220L,1017,0,3,0.000234,2000
DE0823-49 b,10.39,DE0823-49,77,,,0.000659,20.77
HD 176051 b,10.92,HD 176051,317,,,0.247108,14.99
HIP 77900 b,10.94,HIP 77900,538,,,,
HU Aqr(AB) c,11.68,HU Aqr(AB),547,,,1,
HW Vir(AB) b,11.32,HW Vir(AB),548,,,0.15455,181
MOA-2007-BLG-400-L b,10.07,MOA-2007-BLG-400-L,1005,,,0.020563,6000
MOA-2008-BLG-310-L b,7.1,MOA-2008-BLG-310-L,1006,,,0.201511,6000
MOA-2008-BLG-379L b,11.66,MOA-2008-BLG-379L,1007,,,0.189747,3600
MOA-2009-BLG-266L b,3.74,MOA-2009-BLG-266L,1008,,,0.098345,3040
MOA-2011-BLG-262L b,4.49,MOA-2011-BLG-262L,1013,,,0.001753,7350
MOA-2011-BLG-274 b,9.84,MOA-2011-BLG-274,1014,,,,800
MOA-2011-BLG-293L b,11.68,MOA-2011-BLG-293L,1015,,,0.547008,7700
MOA-2011-BLG-322L b,11.65,MOA-2011-BLG-322L,1016,,,0.015555,7740
MOA-bin-1 b,11.64,MOA-bin-1,1018,,,0.316406,5100
NGC 2423 3 b,11.54,NGC 2423 3,1021,,,32.124073,766
NGC 4349 No 127 b,10.95,NGC 4349 No 127,1022,,,175.71846,2176
NN Ser(AB) c,11.67,NN Ser(AB),1023,,,0.174153,500
NN Ser(AB) d,11.38,NN Ser(AB),1023,,,0.174153,500
OGL-2008-BLG-355L b,11.68,OGL-2008-BLG-355L,1026,,,0.023366,6800
OGLE-05-071L b,11.62,OGLE-05-071L,1027,,,0.044775,3300
OGLE-05-169L b,4,OGLE-05-169L,1028,,,0.057648,2700
OGLE-06-109L b,9.65,OGLE-06-109L,1030,,,0.067652,1510
OGLE-06-109L c,7.46,OGLE-06-109L,1030,,,0.067652,1510
OGLE-2007-BLG-368L b,4.81,OGLE-2007-BLG-368L,1031,,,0.167772,5900
OGLE-2008-BLG-092L b,6.02,OGLE-2008-BLG-092L,1032,,,0.1296,7000
OGLE-2009-BLG-151 b,11.66,OGLE-2009-BLG-151,1033,,,0.000022,390
OGLE-2011-BLG-0251 b,10.19,OGLE-2011-BLG-0251,1034,,,0.048797,4090
OGLE-2011-BLG-0420 b,11.6,OGLE-2011-BLG-0420,1035,,,0.000048,1990
OGLE-2012-BLG-0026L b,5.6,OGLE-2012-BLG-0026L,1036,,,0.452122,4080
OGLE-2012-BLG-0026L c,9.51,OGLE-2012-BLG-0026L,1036,,,0.452122,4080
OGLE-2012-BLG-0358L b,11.18,OGLE-2012-BLG-0358L,1037,,,0.000035,1760
OGLE-2012-BLG-0406L b,11.51,OGLE-2012-BLG-0406L,1038,,,0.037481,4970
OGLE-2013-BLG-0102L b,11.37,OGLE-2013-BLG-0102L,1039,,,0.001075,3020
OGLE-2013-BLG-0341L b,1.21,OGLE-2013-BLG-0341L,1040,,,0.001518,911
OGLE-2014-BLG-0124L b,8.84,OGLE-2014-BLG-0124L,1041,,,0.254117,4100
OGLE235-MOA53 b,11.48,OGLE235-MOA53,1050,,,0.15753,5200
OY Car b,11.63,OY Car,1055,,,,
PSR 1257 12 b,0.31,PSR 1257 12,1058,,,5.2,710
PSR 1257 12 c,1.57,PSR 1257 12,1058,,,5.2,710
PSR 1257 12 d,1.54,PSR 1257 12,1058,,,5.2,710
PSR 1719-14 b,4.48,PSR 1719-14,1059,,,0.4,1200
PSR B1620-26 b,11.45,PSR B1620-26,1060,,,3.321506,3800
RR Cae b,11.67,RR Cae,1067,,,0.149679,
USco1602-2401 b,9.41,USco1602-2401,1084,,,,
USco1610-1913 b,10.94,USco1610-1913,1085,,,,
USco1612-1800 b,10.55,USco1612-1800,1086,,,,
UZ For(ab) d,11.66,UZ For(ab),1088,,,0.497871,
WASP-35 b,14.78,WASP-35,1127,,,1.333035,
WASP-42 b,12.1,WASP-42,1134,,,0.071328,
WASP-49 b,12.49,WASP-49,1141,,,0.753799,
WASP-53 b,13.44,WASP-53,1145,,,,
WASP-54 b,15.68,WASP-54,1146,,,,
WASP-56 b,13.44,WASP-56,1148,,,,
WASP-57 b,12.32,WASP-57,1149,,,,
WASP-64 b,7.84,WASP-64,1157,,,,
WASP-68 b,13.89,WASP-68,1161,,,2.321551,
WD 0806-661B b,11.65,WD 0806-661B,1188,,,0.147763,19.2
