planet,pradius,star,cluster,normalradius,sradius,luminosity,distance
HD 152079 b,11.56,HD 152079,278,1,4,1.344539,85.17
HD 188015 b,10.66,HD 188015,332,1,4,1.007933,52.6
HD 210277 b,10.62,HD 210277,363,1,4,1.016726,21.29
HD 216437 b,11.16,HD 216437,373,1,4,1.095366,26.5
HD 220689 b,10.37,HD 220689,384,1,4,1.351045,44.6
HD 33564 b,11.61,HD 33564,421,1,4,1.656514,20.98
HD 99109 b,8.85,HD 99109,523,1,4,0.830827,60.5
Kepler-11 b,1.8,Kepler-11,563,1,4,1.129974,
Kepler-11 c,2.87,Kepler-11,563,1,4,1.129974,
Kepler-11 d,3.12,Kepler-11,563,1,4,1.129974,
Kepler-11 e,4.19,Kepler-11,563,1,4,1.129974,
Kepler-11 f,2.49,Kepler-11,563,1,4,1.129974,
Kepler-11 g,3.67,Kepler-11,563,1,4,1.129974,
Kepler-265 b,1.86,Kepler-265,735,1,4,1.258458,
Kepler-265 c,2.63,Kepler-265,735,1,4,1.258458,
Kepler-265 d,2.49,Kepler-265,735,1,4,1.258458,
Kepler-265 e,2.59,Kepler-265,735,1,4,1.258458,
Kepler-34(AB)  b,8.55,Kepler-34(AB),817,1,4,1.32711,1499
Kepler-79 b,3.47,Kepler-79,951,1,4,1.827055,
Kepler-79 c,3.72,Kepler-79,951,1,4,1.827055,
Kepler-79 d,7.17,Kepler-79,951,1,4,1.827055,
Kepler-79 e,3.49,Kepler-79,951,1,4,1.827055,
Kepler-9 b,11.09,Kepler-9,964,1,4,1.163769,
Kepler-9 c,10.69,Kepler-9,964,1,4,1.163769,
Kepler-9 d,2,Kepler-9,964,1,4,1.163769,
beta Pic b,18.48,beta Pic,45,1,4,9.707662,19.3
HD 106252 b,11.66,HD 106252,203,1,4,1.168483,37.44
HD 117207 b,11.29,HD 117207,228,1,4,0.928073,33
HD 126614 b,8.22,HD 126614,240,1,4,1.037136,72.4
HD 1461 b,1.85,HD 1461,268,1,4,1.188271,23.4
HD 1461 c,1.73,HD 1461,268,1,4,1.188271,23.4
HD 221287 b,11.58,HD 221287,386,1,4,1.67075,52.9
HD 31527 b,3.87,HD 31527,416,1,4,1.321827,38.6
HD 31527 c,4.3,HD 31527,416,1,4,1.321827,38.6
HD 31527 d,4.36,HD 31527,416,1,4,1.321827,38.6
Kepler-118 b,1.96,Kepler-118,571,1,4,0.824714,
Kepler-118 c,7.67,Kepler-118,571,1,4,0.824714,
Kepler-227 b,3.1,Kepler-227,693,1,4,1.251854,
Kepler-227 c,3.04,Kepler-227,693,1,4,1.251854,
Kepler-288 b,1.67,Kepler-288,760,1,4,1.307503,
Kepler-288 c,2.84,Kepler-288,760,1,4,1.307503,
Kepler-288 d,2.67,Kepler-288,760,1,4,1.307503,
Kepler-359 b,3.53,Kepler-359,837,1,4,1.624452,
Kepler-359 c,4.3,Kepler-359,837,1,4,1.624452,
Kepler-359 d,4.01,Kepler-359,837,1,4,1.624452,
Kepler-418 b,13.44,Kepler-418,894,1,4,1.232016,
KOI-1089.02 b,7,KOI-1089.02,986,1,4,1.232016,
WASP-28 b,13.59,WASP-28,1120,1,4,1.53612,410
CoRoT-27 b,11.28,CoRoT-27,68,1,4,1.268076,
HAT-P-15 b,12.01,HAT-P-15,132,1,4,1.005852,190
HD 154088 b,1.75,HD 154088,281,1,4,0.732555,17.8
HD 217107 b,10.74,HD 217107,377,1,4,1.078558,19.72
HD 217107 c,11.45,HD 217107,377,1,4,1.078558,19.72
Kepler-172 b,2.35,Kepler-172,631,1,4,0.975845,
Kepler-172 c,2.86,Kepler-172,631,1,4,0.975845,
Kepler-172 d,2.25,Kepler-172,631,1,4,0.975845,
Kepler-172 e,2.76,Kepler-172,631,1,4,0.975845,
WASP-5 b,13.12,WASP-5,1142,1,4,1.112879,297
HD 159243 b,10.48,HD 159243,291,1,4,1.446146,69.2
HD 159243 c,11.21,HD 159243,291,1,4,1.446146,69.2
Kepler-178 b,2.9,Kepler-178,638,1,4,1.066171,
Kepler-178 c,2.88,Kepler-178,638,1,4,1.066171,
Kepler-178 d,3.94,Kepler-178,638,1,4,1.066171,
Kepler-24 b,2.35,Kepler-24,707,1,4,1.162437,
Kepler-24 c,2.8,Kepler-24,707,1,4,1.162437,
Kepler-334 b,1.12,Kepler-334,811,1,4,1.185047,
Kepler-334 c,1.43,Kepler-334,811,1,4,1.185047,
Kepler-334 d,1.41,Kepler-334,811,1,4,1.185047,
Kepler-355 b,1.46,Kepler-355,833,1,4,1.502226,
Kepler-355 c,2.71,Kepler-355,833,1,4,1.502226,
WASP-75 b,14.22,WASP-75,1168,1,4,1.425433,260
HD 141937 b,11.58,HD 141937,260,1,4,1.242381,33.46
HD 164509 b,8.75,HD 164509,299,1,4,1.239867,52
Kepler-10 b,1.47,Kepler-10,557,1,4,1.080252,173
Kepler-10 c,2.35,Kepler-10,557,1,4,1.080252,173
Kepler-180 b,1.5,Kepler-180,641,1,4,1.087485,
Kepler-180 c,3.01,Kepler-180,641,1,4,1.087485,
Kepler-218 b,1.48,Kepler-218,683,1,4,0.923813,
Kepler-218 c,3.14,Kepler-218,683,1,4,0.923813,
Kepler-360 b,1.65,Kepler-360,839,1,4,1.353269,
Kepler-360 c,2.09,Kepler-360,839,1,4,1.353269,
WASP-21 b,13.55,WASP-21,1114,1,4,1.140811,230
WASP-55 b,14.56,WASP-55,1147,1,4,1.221546,330
WASP-97 b,12.66,WASP-97,1185,1,4,1.020042,
XO-5 b,11.54,XO-5,1199,1,4,0.929197,255
HD 125612 b,11.56,HD 125612,237,1,4,1.19617,52.82
HD 125612 c,4.53,HD 125612,237,1,4,1.19617,52.82
HD 125612 d,11.67,HD 125612,237,1,4,1.19617,52.82
HD 284149 b,10.18,HD 284149,406,1,4,1.319637,108.2
HD 89307 b,11.26,HD 89307,505,1,4,1.239756,30.9
Kepler-17 b,14.69,Kepler-17,627,1,4,1.104791,800
Kepler-365 b,2.04,Kepler-365,844,1,4,1.292244,
Kepler-365 c,1.64,Kepler-365,844,1,4,1.292244,
Kepler-366 b,1.46,Kepler-366,845,1,4,1.470128,
Kepler-366 c,1.79,Kepler-366,845,1,4,1.470128,
Kepler-387 b,1.03,Kepler-387,868,1,4,1.09945,
Kepler-387 c,0.88,Kepler-387,868,1,4,1.09945,
WASP-96 b,13.44,WASP-96,1184,1,4,0.931767,
HAT-P-22 b,12.1,HAT-P-22,139,1,4,0.766859,82
HAT-P-51 b,14.48,HAT-P-51,170,1,4,0.857153,470
HATS-1 b,14.58,HATS-1,178,1,4,1.147722,303
HD 129445 b,11,HD 129445,242,1,4,1.202325,67.61
HD 171238 b,11.48,HD 171238,312,1,4,0.860579,50.28
HD 41004 A b,11.46,HD 41004 A,434,1,4,0.620552,42.5
HD 73267 b,11.57,HD 73267,478,1,4,0.775574,54.91
HD 83443 b,11.65,HD 83443,494,1,4,0.862436,43.54
Kepler-157 b,1.32,Kepler-157,613,1,4,1.078608,
Kepler-157 c,2.24,Kepler-157,613,1,4,1.078608,
Kepler-257 b,2.61,Kepler-257,726,1,4,0.698676,
Kepler-257 c,5.41,Kepler-257,726,1,4,0.698676,
Kepler-257 d,4.95,Kepler-257,726,1,4,0.698676,
Kepler-315 b,3.76,Kepler-315,790,1,4,1.095141,
Kepler-315 c,4.14,Kepler-315,790,1,4,1.095141,
Kepler-396 b,3.47,Kepler-396,878,1,4,0.815411,
Kepler-396 c,5.26,Kepler-396,878,1,4,0.815411,
HD 142415 b,11.02,HD 142415,263,1,4,1.102631,34.2
HD 28185 b,11.68,HD 28185,404,1,4,0.859647,39.4
HD 45184 b,4,HD 45184,443,1,4,1.182737,21.9
HN Peg b,12.32,HN Peg,543,1,4,1.173912,18.4
Kepler-170 b,3.19,Kepler-170,628,1,4,0.990038,
Kepler-170 c,2.86,Kepler-170,628,1,4,0.990038,
Kepler-215 b,1.62,Kepler-215,680,1,4,1.032545,
Kepler-215 c,1.77,Kepler-215,680,1,4,1.032545,
Kepler-215 d,2.39,Kepler-215,680,1,4,1.032545,
Kepler-215 e,1.75,Kepler-215,680,1,4,1.032545,
Kepler-266 b,2.48,Kepler-266,736,1,4,1.141695,
Kepler-266 c,3.89,Kepler-266,736,1,4,1.141695,
Kepler-287 b,2.33,Kepler-287,759,1,4,1.081614,
Kepler-287 c,3.26,Kepler-287,759,1,4,1.081614,
Kepler-299 b,1.32,Kepler-299,772,1,4,0.947506,
Kepler-299 c,2.64,Kepler-299,772,1,4,0.947506,
Kepler-299 d,1.86,Kepler-299,772,1,4,0.947506,
Kepler-299 e,1.87,Kepler-299,772,1,4,0.947506,
Kepler-307 b,3.2,Kepler-307,781,1,4,0.836673,
Kepler-307 c,2.8,Kepler-307,781,1,4,0.836673,
Kepler-447 b,18.48,Kepler-447,915,1,4,0.866568,
Kepler-58 b,2.8,Kepler-58,930,1,4,1.10945,
Kepler-58 c,2.91,Kepler-58,930,1,4,1.10945,
Kepler-58 d,2.93,Kepler-58,930,1,4,1.10945,
Kepler-84 b,2.2,Kepler-84,958,1,4,1.258094,
Kepler-84 c,2.4,Kepler-84,958,1,4,1.258094,
Kepler-84 d,1.38,Kepler-84,958,1,4,1.258094,
Kepler-84 e,2.6,Kepler-84,958,1,4,1.258094,
Kepler-84 f,2.2,Kepler-84,958,1,4,1.258094,
CoRoT-6 b,13.06,CoRoT-6,72,1,4,1.296602,
HD 109246 b,9.77,HD 109246,214,1,4,1.088757,65.6
HD 202206 b,11.12,HD 202206,349,1,4,1.020379,46.34
HD 202206 c,11.43,HD 202206,349,1,4,1.020379,46.34
HD 51608 b,4.04,HD 51608,454,1,4,0.647379,34.8
HD 51608 c,4.49,HD 51608,454,1,4,0.647379,34.8
HD 6718 b,10.97,HD 6718,470,1,4,1.016835,55.9
HD 95086 b,11.68,HD 95086,512,1,4,8.478848,90.4
Kepler-194 b,1.51,Kepler-194,657,1,4,1.28314,
Kepler-194 c,2.59,Kepler-194,657,1,4,1.28314,
Kepler-194 d,2.4,Kepler-194,657,1,4,1.28314,
Kepler-223 b,1.69,Kepler-223,689,1,4,1.077622,
Kepler-223 c,1.99,Kepler-223,689,1,4,1.077622,
Kepler-223 d,2.98,Kepler-223,689,1,4,1.077622,
Kepler-223 e,2.4,Kepler-223,689,1,4,1.077622,
Kepler-291 b,2.16,Kepler-291,764,1,4,1.211362,
Kepler-291 c,1.88,Kepler-291,764,1,4,1.211362,
Kepler-341 b,1.18,Kepler-341,819,1,4,1.219456,
Kepler-341 c,1.7,Kepler-341,819,1,4,1.219456,
Kepler-341 d,1.85,Kepler-341,819,1,4,1.219456,
Kepler-341 e,1.99,Kepler-341,819,1,4,1.219456,
Kepler-346 b,2.65,Kepler-346,824,1,4,1.236584,
Kepler-346 c,3.07,Kepler-346,824,1,4,1.236584,
XO-2S b,7.36,XO-2S,1196,1,4,0.793128,149
XO-2S c,10.79,XO-2S,1196,1,4,0.793128,149
CoRoT-13 b,9.91,CoRoT-13,54,1,4,1.143247,1310
HD 47186 b,4.86,HD 47186,448,1,4,0.946024,37.84
HD 47186 c,8.04,HD 47186,448,1,4,0.946024,37.84
HD 564 b,7.9,HD 564,458,1,4,0,54
HD 7449 b,10.45,HD 7449,482,1,4,1.205237,39
HD 7449 c,11.26,HD 7449,482,1,4,1.205237,39
Kepler-175 b,2.55,Kepler-175,634,1,4,1.237569,
Kepler-175 c,3.1,Kepler-175,634,1,4,1.237569,
Kepler-192 b,2.73,Kepler-192,655,1,4,0.824779,
Kepler-192 c,2.79,Kepler-192,655,1,4,0.824779,
Kepler-228 b,1.52,Kepler-228,694,1,4,1.220515,
Kepler-228 c,2.7,Kepler-228,694,1,4,1.220515,
Kepler-228 d,4.03,Kepler-228,694,1,4,1.220515,
Kepler-274 b,1.53,Kepler-274,745,1,4,1.204437,
Kepler-274 c,1.84,Kepler-274,745,1,4,1.204437,
Kepler-282 b,1.01,Kepler-282,754,1,4,1.091088,
Kepler-282 c,1.2,Kepler-282,754,1,4,1.091088,
Kepler-282 d,2.46,Kepler-282,754,1,4,1.091088,
Kepler-282 e,3.1,Kepler-282,754,1,4,1.091088,
WASP-41 b,13.55,WASP-41,1133,1,4,0.807456,180
CoRoT-18 b,14.67,CoRoT-18,58,1,4,0.785752,870
HD 134606 b,1.95,HD 134606,250,1,4,1.112991,26.5
HD 134606 c,3.94,HD 134606,250,1,4,1.112991,26.5
HD 134606 d,5.78,HD 134606,250,1,4,1.112991,26.5
HD 147513 b,10.6,HD 147513,270,1,4,0.947751,12.9
