i,continent,continentID,region,cluster,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,
Comoros,Africa,1,East Africa,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Djibouti,Africa,1,East Africa,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eritrea,Africa,1,East Africa,6,The Eritrean War for Independence,The Eritrean War for Independence,The Eritrean War for Independence,The Eritrean War for Independence,The Eritrean War for Independence,The Eritrean War for Independence,The Eritrean War for Independence,The Eritrean War for Independence,The Eritrean War for Independence,,,,,The Eritrean–Ethiopian War,The Eritrean–Ethiopian War,The Eritrean–Ethiopian War,,,,,,,,,,,,,,
Ethiopia,Africa,1,East Africa,6,Famine and The Ethiopian Civil War,The Ethiopian Civil War,The Ethiopian Civil War,The Ethiopian Civil War,The Ethiopian Civil War,The Ethiopian Civil War,The Ethiopian Civil War,,,,,,,,,,,,,,,,,,,,,,,
Kenya,Africa,1,East Africa,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Madagascar,Africa,1,East Africa,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malawi,Africa,1,East Africa,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mauritius,Africa,1,East Africa,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mozambique,Africa,1,East Africa,6,The Mozambican Civil War,The Mozambican Civil War,The Mozambican Civil War,The Mozambican Civil War,The Mozambican Civil War,The Mozambican Civil War,The Mozambican Civil War,The Mozambican Civil War,,,,,,,,,,,,,,,,,,,,,,
Rwanda,Africa,1,East Africa,6,,,,,,,,,,The Rwandan Geneocide ,The Rwandan Geneocide ,The Rwandan Geneocide ,,,,,,,,,,,,,,,,,,
Seychelles,Africa,1,East Africa,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Somalia,Africa,1,East Africa,6,,,,The Somali Civil War,The Somali Civil War,The Somali Civil War,The Somali Civil War,The Somali Civil War,The Somali Civil War,The Somali Civil War,The Somali Civil War,The Somali Civil War,The Somali Civil War,The Somali Civil War,The Somali Civil War,The Somali Civil War,The Somali Civil War,The Somali Civil War,The Somali Civil War,The Somali Civil War,The Somali Civil War,The Somali Civil War,The Somali Civil War,The Somali Civil War,The Somali Civil War,The Somali Civil War,The Somali Civil War,The Somali Civil War,The Somali Civil War,
South Sudan,Africa,1,East Africa,6,,,,,,,,,,,,,,,,,,,,,,,,,,,Ethnic violence,Ethnic violence,Ethnic violence,
Uganda,Africa,1,East Africa,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Rep. of Tanzania,Africa,1,East Africa,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zambia,Africa,1,East Africa,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zimbabwe,Africa,1,East Africa,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Algeria,Africa,1,North Africa,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Egypt,Africa,1,North Africa,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Libya,Africa,1,North Africa,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Morocco,Africa,1,North Africa,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
